isco,lamas_name,conceptUri,preferredLabel,ISCO-08 Title EN,Avg All 3 Scores,Rank Avg All 3 Scores,esco_code_title,isco_code_title
1120,מנהל אזור,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.868551127,1,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל אזור,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.52928262,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל אזור,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.698492959,4,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל אזור,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.711405448,3,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל אזור,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.528225056,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל אזור,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.726119459,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,מנהל בכיר,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.747049983,4,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל בכיר,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.536755022,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל בכיר,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.786603503,3,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל בכיר,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.817565207,1,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל בכיר,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.477717049,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל בכיר,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.800286663,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,מנהל בכיר בחברה,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.705296588,4,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל בכיר בחברה,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.561310013,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל בכיר בחברה,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.819961019,1,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל בכיר בחברה,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.772581466,3,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל בכיר בחברה,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.467990941,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל בכיר בחברה,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.794453216,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,מנהל בנק ראשי,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.589651609,4,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל בנק ראשי,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.447373715,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל בנק ראשי,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.654426915,1,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל בנק ראשי,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.597526105,3,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל בנק ראשי,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.441492826,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל בנק ראשי,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.638885036,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,"מנהל המכס והמע""מ",http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.585356439,1,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,"מנהל המכס והמע""מ",http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.563273586,3,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,"מנהל המכס והמע""מ",http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.533524436,4,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,"מנהל המכס והמע""מ",http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.52170047,5,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,"מנהל המכס והמע""מ",http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.476235593,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,"מנהל המכס והמע""מ",http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.56963711,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,"מנהל כללי (מנכ""ל)",http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.669416404,5,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,"מנהל כללי (מנכ""ל)",http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.675376326,4,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,"מנהל כללי (מנכ""ל)",http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.811989799,2,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,"מנהל כללי (מנכ""ל)",http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.831210538,1,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,"מנהל כללי (מנכ""ל)",http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.526625314,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,"מנהל כללי (מנכ""ל)",http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.793825261,3,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,מנהל כללי בשירות ממשלתי,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.719998473,3,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל כללי בשירות ממשלתי,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.569209447,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל כללי בשירות ממשלתי,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.751384663,1,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל כללי בשירות ממשלתי,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.712872005,4,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל כללי בשירות ממשלתי,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.514514119,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל כללי בשירות ממשלתי,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.74330319,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,מנהל כללי בשירות מקומי,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.800135334,1,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל כללי בשירות מקומי,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.586063451,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל כללי בשירות מקומי,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.75738135,2,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל כללי בשירות מקומי,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.710001294,4,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל כללי בשירות מקומי,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.56705288,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל כללי בשירות מקומי,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.75234969,3,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,מנהל כללי של חברה,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.789788129,4,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל כללי של חברה,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.6429583,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל כללי של חברה,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.865179315,1,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל כללי של חברה,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.805743941,3,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל כללי של חברה,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.55324724,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל כללי של חברה,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.837352003,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,מנהל רשות הדואר,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.697181181,1,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל רשות הדואר,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.548451453,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל רשות הדואר,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.580329724,4,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל רשות הדואר,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.623098141,3,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל רשות הדואר,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.459644417,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל רשות הדואר,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.67847198,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,מנהל רשת חניונים לרכב,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.463214423,3,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,מנהל רשת חניונים לרכב,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.481991511,2,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,מנהל רשת חניונים לרכב,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.524189958,1,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,מנהל רשת חניונים לרכב,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.389200572,5,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,מנהל רשת חניונים לרכב,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.351188948,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,מנהל רשת חניונים לרכב,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.435253392,4,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,"מנכ""ל",http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.656737071,4,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,"מנכ""ל",http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.646737718,5,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,"מנכ""ל",http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.772542367,3,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,"מנכ""ל",http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.871341884,1,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,"מנכ""ל",http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.538219917,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
1120,"מנכ""ל",http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,Managing directors and chief executives,0.775319512,2,chief operating officer http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120 Managing directors and chief executives
1120,"מנכ""ל בית דפוס",http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,branch manager,Managing directors and chief executives,0.574212536,5,branch manager http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1120 Managing directors and chief executives
1120,"מנכ""ל בית דפוס",http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Managing directors and chief executives,0.630960617,4,airport chief executive http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120 Managing directors and chief executives
1120,"מנכ""ל בית דפוס",http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,Managing directors and chief executives,0.697320126,2,business manager http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1120 Managing directors and chief executives
1120,"מנכ""ל בית דפוס",http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,Managing directors and chief executives,0.714491936,1,chief executive officer http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120 Managing directors and chief executives
1120,"מנכ""ל בית דפוס",http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,Managing directors and chief executives,0.415308736,6,animal facility manager http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120 Managing directors and chief executives
